mode,ship_date,ship_date_time,delivery_date,delivery_date_time,hours,ship_from,ship_from_coords,ice_customer_name,ship_to,ship_to_coords,number_of_pallets
PCL,2023-09-19,2023-09-19 16:00:00,2023-09-21,2023-09-21 7:00:00,39,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Nichols, NY","[-76.3669, 42.0217]",11.79
FTL,2023-07-24,2023-07-24 7:00:00,2023-07-26,2023-07-26 7:00:00,48,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Ardmore, OK","[-97.1256,34.1949]",13.98
FTL,2023-10-05,2023-10-05 10:00:00,2023-10-06,2023-10-06 9:00:00,23,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Florence, NJ","[-74.7863, 40.0967]",1.12
LTL,2023-09-29,2023-09-29 17:00:00,2023-10-04,2023-10-04 8:00:00,111,"Carol Stream, IL","[-88.1307,41.9181]",TD Synnex Corporation,"Columbus, OH","[-82.9855,39.9862]",3.8
LTL,2023-10-02,2023-10-02 14:00:00,2023-10-09,2023-10-09 8:00:00,162,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Breinigsville, PA","[-75.6347,40.5394]",2.96
LTL,2023-10-04,2023-10-04 11:00:00,2023-10-06,2023-10-06 15:00:00,52,"Carol Stream, IL","[-88.1307,41.9181]",Target,"West Jefferson, OH","[-83.3076,39.9475]",0.16
LTL,2023-09-21,2023-09-21 9:00:00,2023-09-27,2023-09-27 14:00:00,149,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Best Buy,"Staunton, VA","[-79.0611,38.1593]",3.22
PCL,2023-08-22,2023-08-22 12:00:00,2023-08-23,2023-08-23 16:00:00,28,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Target,"Shafter, CA","[-119.2013,35.4794]",0.2
PCL,2023-08-23,2023-08-23 14:00:00,2023-08-24,2023-08-24 13:00:00,23,"Rancho Cucamonga, CA","[-117.5667,34.1247]","Amazon.com, LLC","Fort Wayne, IN","[-85.1436,41.0888]",0.03
PCL,2023-08-31,2023-08-31 7:00:00,2023-09-04,2023-09-04 3:00:00,92,"Carol Stream, IL","[-88.1307,41.9181]",Home Depot (Store),"Dallas, TX","[-96.7667,32.7935]",3.52
FTL,2023-08-11,2023-08-11 11:00:00,2023-08-14,2023-08-14 2:00:00,63,"Rancho Cucamonga, CA","[-117.5667,34.1247]",ADT - US,"Atlanta, GA","[-84.422,33.7628]",18
FTL,2023-08-08,2023-08-08 7:00:00,2023-08-10,2023-08-10 9:00:00,50,"Carol Stream, IL","[-88.1307,41.9181]",Best Buy,"Dublin, GA","[-82.928,32.536]",6.91
FTL,2023-09-01,2023-09-01 7:00:00,2023-09-03,2023-09-03 8:00:00,49,"Carol Stream, IL","[-88.1307,41.9181]","Amazon.com, LLC","Chesapeake, VA","[-76.3023,36.6778]",8.69
FTL,2023-10-24,2023-10-24 16:00:00,2023-10-24,2023-10-24 23:00:00,7,"Rancho Cucamonga, CA","[-117.5667,34.1247]",Best Buy,"Dinuba, CA","[-119.3987,36.5453]",18.13
LTL,2023-07-06,2023-07-06 14:00:00,2023-07-11,2023-07-11 6:00:00,112,"Carol Stream, IL","[-88.1307,41.9181]",Target,"Madison, AL","[-86.7626,34.7114]",0.4
PCL,2023-08-11,2023-08-11 21:00:00,2023-08-18,2023-08-18 8:00:00,155,"Carol Stream, IL","[-88.1307,41.9181]",ADT - US Manual,"Langhorne, PA","[-74.9212,40.1777]",1
