postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
010,US-IL-ORD,567,4,495,68,0,9
011,US-IL-ORD,84,0,73,11,0,2
012,US-IL-ORD,164,130,14,20,0,1
013,US-IL-ORD,114,1,102,11,0,3
014,US-IL-ORD,326,0,296,30,0,4
015,US-IL-ORD,586,1,517,68,0,4
016,US-IL-ORD,214,1,195,18,0,3
017,US-IL-ORD,944,1,844,99,0,9
018,US-IL-ORD,1087,1,975,111,0,8
019,US-IL-ORD,567,0,491,76,0,8
020,US-IL-ORD,613,0,547,66,0,4
021,US-IL-ORD,2506,3,2167,336,0,15
022,US-IL-ORD,72,0,58,14,0,0
023,US-IL-ORD,373,0,307,66,0,3
024,US-IL-ORD,1298,3,1146,149,0,7
025,US-IL-ORD,149,3,134,12,0,1
026,US-IL-ORD,178,2,158,18,0,3
027,US-IL-ORD,474,2,418,54,0,8
028,US-IL-ORD,742,6,673,63,0,4
029,US-IL-ORD,381,0,319,62,0,9
030,US-IL-ORD,1053,0,926,127,0,6
031,US-IL-ORD,346,1,312,33,0,5
032,US-IL-ORD,304,3,276,25,0,3
033,US-IL-ORD,137,0,125,12,0,0
034,US-IL-ORD,210,0,199,11,0,0
035,US-IL-ORD,41,2,37,2,0,0
036,US-IL-ORD,36,0,34,2,0,1
037,US-IL-ORD,148,1,129,18,0,2
038,US-IL-ORD,669,10,587,72,0,4
039,US-IL-ORD,61,0,54,7,0,1
040,US-IL-ORD,567,8,516,43,0,4
041,US-IL-ORD,266,0,232,34,0,3
042,US-IL-ORD,172,6,159,7,0,1
043,US-IL-ORD,122,2,108,12,0,3
044,US-IL-ORD,205,2,196,7,0,0
045,US-IL-ORD,66,6,58,2,0,0
046,US-IL-ORD,73,8,65,0,0,2
047,US-IL-ORD,40,3,35,2,0,0
048,US-IL-ORD,47,2,41,4,0,0
049,US-IL-ORD,141,5,131,5,0,0
050,US-IL-ORD,75,2,70,3,0,1
051,US-IL-ORD,33,3,28,2,0,1
052,US-IL-ORD,45,39,2,4,0,1
053,US-IL-ORD,53,1,48,4,0,0
054,US-IL-ORD,549,5,497,47,0,4
056,US-IL-ORD,118,4,105,9,0,4
057,US-IL-ORD,80,3,72,5,0,2
058,US-IL-ORD,47,2,45,0,0,1
059,US-IL-ORD,1,1,0,0,0,0
060,US-IL-ORD,931,78,761,92,0,4
061,US-IL-ORD,267,1,241,25,0,2
062,US-IL-ORD,170,3,149,18,0,7
063,US-IL-ORD,294,6,257,31,0,3
064,US-IL-ORD,796,175,522,99,0,8
065,US-IL-ORD,326,33,256,37,0,3
066,US-IL-ORD,196,33,136,27,0,4
067,US-IL-ORD,246,75,144,27,0,1
068,US-IL-ORD,570,279,214,77,0,5
069,US-IL-ORD,186,42,122,22,0,1
070,US-IL-ORD,2500,1238,920,342,0,19
071,US-IL-ORD,182,59,93,30,0,6
072,US-IL-ORD,111,1,87,23,0,5
073,US-IL-ORD,899,558,213,128,0,8
074,US-IL-ORD,633,162,389,82,0,5
075,US-IL-ORD,89,24,57,8,0,1
076,US-IL-ORD,671,430,138,103,0,4
077,US-IL-ORD,654,104,459,91,0,5
078,US-IL-ORD,477,51,363,63,0,9
079,US-IL-ORD,532,108,366,58,0,7
080,US-IL-ORD,1228,852,238,138,0,9
081,US-IL-ORD,124,94,18,12,0,1
082,US-IL-ORD,209,37,154,18,0,4
083,US-IL-ORD,134,16,104,14,0,3
084,US-IL-ORD,26,9,16,1,0,0
085,US-IL-ORD,692,140,488,64,0,4
086,US-IL-ORD,250,4,217,29,0,1
087,US-IL-ORD,359,61,263,34,1,6
088,US-IL-ORD,1506,3,1359,144,0,11
089,US-IL-ORD,133,0,119,14,0,0
100,US-IL-ORD,2648,1627,575,446,0,10
101,US-IL-ORD,144,121,8,15,0,0
102,US-IL-ORD,51,38,3,10,0,0
103,US-IL-ORD,311,113,145,53,0,2
104,US-IL-ORD,500,151,283,66,0,7
105,US-IL-ORD,814,7,688,119,0,12
106,US-IL-ORD,132,38,71,23,0,1
107,US-IL-ORD,190,101,64,25,0,5
108,US-IL-ORD,105,37,52,16,0,3
109,US-IL-ORD,477,153,260,64,0,3
110,US-IL-ORD,264,159,70,35,0,0
111,US-IL-ORD,624,314,203,107,0,1
112,US-IL-ORD,2841,1767,639,435,0,28
113,US-IL-ORD,1100,674,281,145,0,7
114,US-IL-ORD,472,363,36,73,0,4
115,US-IL-ORD,589,458,50,81,0,4
116,US-IL-ORD,50,35,5,10,0,1
117,US-IL-ORD,1349,944,229,176,0,20
118,US-IL-ORD,97,56,31,10,0,0
119,US-IL-ORD,168,59,85,24,0,3
120,US-IL-ORD,453,384,26,43,0,3
121,US-IL-ORD,339,283,28,28,0,7
122,US-IL-ORD,205,175,12,18,0,2
123,US-IL-ORD,215,178,6,31,0,5
124,US-IL-ORD,150,83,62,5,0,1
125,US-IL-ORD,506,243,217,46,0,1
126,US-IL-ORD,86,69,11,6,0,0
127,US-IL-ORD,64,40,21,3,0,0
128,US-IL-ORD,207,171,16,20,0,2
129,US-IL-ORD,120,8,110,2,0,1
130,US-IL-ORD,387,320,22,45,0,4
131,US-IL-ORD,165,137,11,17,0,3
132,US-IL-ORD,227,192,7,28,0,2
133,US-IL-ORD,115,100,10,5,0,1
134,US-IL-ORD,141,115,8,18,0,4
135,US-IL-ORD,32,26,4,2,0,0
136,US-IL-ORD,204,169,27,8,0,1
137,US-IL-ORD,129,67,52,10,0,2
138,US-IL-ORD,134,64,56,14,0,1
139,US-IL-ORD,67,24,39,4,0,2
140,US-IL-ORD,603,514,31,58,0,4
141,US-IL-ORD,307,269,11,27,0,5
142,US-IL-ORD,897,770,57,70,0,9
143,US-IL-ORD,83,64,5,14,0,3
144,US-IL-ORD,540,475,30,35,0,3
145,US-IL-ORD,607,538,32,37,0,5
146,US-IL-ORD,963,817,65,81,0,11
147,US-IL-ORD,125,114,3,8,0,1
148,US-IL-ORD,466,394,31,41,0,6
149,US-IL-ORD,57,51,3,3,0,1
150,US-IL-ORD,687,590,31,66,0,3
151,US-IL-ORD,675,573,35,67,0,11
152,US-IL-ORD,2091,1821,79,191,0,23
153,US-IL-ORD,175,149,9,17,0,2
154,US-IL-ORD,89,79,6,4,0,1
155,US-IL-ORD,40,34,6,0,0,0
156,US-IL-ORD,375,327,12,36,0,5
157,US-IL-ORD,78,12,61,5,0,3
158,US-IL-ORD,79,59,12,8,0,2
159,US-IL-ORD,114,80,25,9,0,1
160,US-IL-ORD,370,304,23,43,0,6
161,US-IL-ORD,174,150,10,14,0,1
162,US-IL-ORD,63,59,2,2,0,0
163,US-IL-ORD,148,132,10,6,0,1
164,US-IL-ORD,119,108,5,6,0,0
165,US-IL-ORD,202,159,30,13,0,1
166,US-IL-ORD,226,92,114,20,0,2
167,US-IL-ORD,24,19,4,1,0,1
168,US-IL-ORD,278,66,181,31,0,5
169,US-IL-ORD,27,24,3,0,0,0
170,US-IL-ORD,703,154,481,68,0,5
171,US-IL-ORD,160,5,131,24,0,2
172,US-IL-ORD,166,123,32,11,0,2
173,US-IL-ORD,288,105,150,33,0,6
174,US-IL-ORD,144,2,126,16,0,1
175,US-IL-ORD,334,46,254,34,0,3
176,US-IL-ORD,203,0,179,24,0,3
177,US-IL-ORD,94,21,66,7,0,0
178,US-IL-ORD,171,57,102,12,0,2
179,US-IL-ORD,55,24,29,2,0,0
180,US-IL-ORD,596,56,466,74,0,4
181,US-IL-ORD,153,15,119,19,0,2
182,US-IL-ORD,87,12,68,7,0,0
183,US-IL-ORD,178,48,116,14,0,4
184,US-IL-ORD,153,48,92,13,0,1
185,US-IL-ORD,71,5,64,2,0,0
186,US-IL-ORD,99,34,55,10,0,0
187,US-IL-ORD,70,25,38,7,0,0
188,US-IL-ORD,33,20,13,0,0,0
189,US-IL-ORD,491,74,369,48,0,5
190,US-IL-ORD,1410,755,532,123,0,12
191,US-IL-ORD,1453,835,412,206,0,30
193,US-IL-ORD,710,171,453,86,0,8
194,US-IL-ORD,873,27,742,104,0,7
195,US-IL-ORD,204,42,143,19,0,2
196,US-IL-ORD,176,5,156,15,0,3
197,US-IL-ORD,827,595,144,88,0,8
198,US-IL-ORD,488,336,100,52,0,5
199,US-IL-ORD,398,276,96,26,0,5
200,US-IL-ORD,1655,1381,70,204,0,16
201,US-IL-ORD,4065,3492,183,390,0,44
204,US-IL-ORD,3,3,0,0,0,0
205,US-IL-ORD,1,1,0,0,0,0
206,US-IL-ORD,410,364,16,30,0,10
207,US-IL-ORD,1131,932,58,141,0,17
208,US-IL-ORD,1702,1439,90,173,0,10
209,US-IL-ORD,607,507,45,55,0,10
210,US-IL-ORD,1567,1322,75,170,0,8
211,US-IL-ORD,779,651,45,83,0,6
212,US-IL-ORD,1322,1068,74,180,0,20
214,US-IL-ORD,143,109,13,21,0,1
215,US-IL-ORD,57,51,2,4,0,0
216,US-IL-ORD,138,119,11,8,0,3
217,US-IL-ORD,882,767,40,75,0,8
218,US-IL-ORD,109,89,11,9,0,2
219,US-IL-ORD,93,77,9,7,0,0
220,US-IL-ORD,1822,1589,84,149,0,12
221,US-IL-ORD,1473,1294,54,125,0,7
222,US-IL-ORD,1188,1024,34,130,0,22
223,US-IL-ORD,1128,986,40,102,0,14
224,US-IL-ORD,404,349,27,28,0,5
225,US-IL-ORD,269,252,6,11,0,4
226,US-IL-ORD,328,283,17,28,0,4
227,US-IL-ORD,107,100,4,3,0,3
228,US-IL-ORD,224,197,12,15,0,3
229,US-IL-ORD,651,561,45,45,0,6
230,US-IL-ORD,385,320,40,25,0,4
231,US-IL-ORD,748,547,142,59,0,3
232,US-IL-ORD,1124,960,62,102,0,17
233,US-IL-ORD,250,5,229,16,0,2
234,US-IL-ORD,838,15,749,74,0,17
235,US-IL-ORD,255,0,227,28,0,4
236,US-IL-ORD,439,1,400,38,0,9
237,US-IL-ORD,67,0,57,10,0,0
238,US-IL-ORD,284,242,13,29,0,3
239,US-IL-ORD,55,43,11,1,0,1
240,US-IL-ORD,577,483,51,43,0,5
241,US-IL-ORD,236,199,26,11,0,1
242,US-IL-ORD,99,92,3,4,0,0
243,US-IL-ORD,89,77,12,0,0,1
244,US-IL-ORD,188,154,25,9,0,2
245,US-IL-ORD,283,82,189,12,0,2
246,US-IL-ORD,12,10,2,0,0,0
247,US-IL-ORD,21,18,1,2,0,0
248,US-IL-ORD,8,6,2,0,0,0
249,US-IL-ORD,14,14,0,0,0,0
250,US-IL-ORD,30,26,3,1,0,0
251,US-IL-ORD,34,26,6,2,0,1
252,US-IL-ORD,27,23,4,0,0,1
253,US-IL-ORD,84,61,13,10,0,4
254,US-IL-ORD,195,160,14,21,0,0
255,US-IL-ORD,66,56,3,7,0,2
256,US-IL-ORD,7,6,0,1,0,0
257,US-IL-ORD,63,57,3,3,0,1
258,US-IL-ORD,30,23,6,1,0,0
259,US-IL-ORD,10,10,0,0,0,0
260,US-IL-ORD,64,53,7,4,0,2
261,US-IL-ORD,90,78,7,5,0,0
262,US-IL-ORD,50,47,3,0,0,1
263,US-IL-ORD,51,42,6,3,0,0
264,US-IL-ORD,27,24,2,1,0,0
265,US-IL-ORD,172,155,5,12,0,1
266,US-IL-ORD,13,8,5,0,0,0
267,US-IL-ORD,24,20,3,1,0,1
268,US-IL-ORD,8,7,0,1,0,0
270,US-IL-ORD,266,53,192,21,0,3
271,US-IL-ORD,333,52,254,27,0,5
