ice_customer_name,ship_to,ship_to_coords,number_of_pallets
Home Depot,"Breinigsville, PA","[-75.6347,40.5394]",42.6
Home Depot,"Dallas, TX","[-96.7667,32.7935]",46.9
Home Depot,"Hagerstown, MD","[-77.7217,39.6401]",1.4
Home Depot,"Hialeah, FL","[-80.3045,25.8696]",0.9
Home Depot,"Houston, TX","[-95.3885,29.786]",45.0
Home Depot,"Joliet, IL","[-88.1499,41.5188]",38.0
Home Depot,"Lacey, WA","[-122.7933,47.0462]",2.2
Home Depot,"Lake Park, GA","[-83.1873,30.6851]",53.0
Home Depot,"Locust Grove, GA","[-84.1071,33.3446]",65.9
Home Depot,"Luckey, OH","[-83.4839,41.4525]",28.2
Home Depot,"Mc Calla, AL","[-87.0140, 33.3451]",33.5
Home Depot,"Monroe, OH","[-84.3667,39.4461]",28.7
Home Depot,"Northlake, IL","[-87.9054,41.9142]",7.6
Home Depot,"Ontario, CA","[-117.6064,34.0393]",37.7
Home Depot,"Perris, CA","[-117.2233,33.7898]",21.6
Home Depot,"Perth Amboy, NJ","[-74.2724,40.5202]",9.3
Home Depot,"Pittston Township, PA","[-75.7230, 41.3029]",47.1
Home Depot,"Plant City, FL","[-82.1201,28.014]",13.6
Home Depot,"Redlands, CA","[-117.1712,34.0512]",34.8
Home Depot,"Salem, OR","[-123.0244,44.9233]",22.0
Home Depot,"Sparrows Point, MD","[-76.4807, 39.2261]",2.3
Home Depot,"Tewksbury, MA","[-71.2342, 42.6106]",11.5
Home Depot,"Tolleson, AZ","[-112.256,33.4484]",17.2
Home Depot,"Topeka, KS","[-95.6955,39.0346]",25.8
Home Depot,"Tracy, CA","[-121.4523,37.7269]",39.6
Home Depot,"Van Buren, OH","[-83.6494,41.1387]",31.0
Home Depot,"West Columbia, SC","[-81.0936,33.9932]",25.3
Home Depot,"West Jefferson, OH","[-83.3076,39.9475]",0.4
Home Depot,"Westfield, MA","[-72.7561,42.1382]",54.1
Home Depot,"Winchester, VA","[-78.1746,39.1735]",33.9
Target,"Albany, OR","[-123.0965,44.6272]",14.4
Target,"Amsterdam, NY","[-74.1906,42.942]",29.5
Target,"Cedar Falls, IA","[-92.4536,42.5195]",14.6
Target,"Chambersburg, PA","[-77.6556,39.9315]",15.2
Target,"Chicago, IL","[-87.6866,41.8375]",4.8
Target,"Fontana, CA","[-117.4599,34.0968]",13.3
Target,"Fridley, MN","[-93.2595,45.0841]",8.6
Target,"Galesburg, MI","[-85.4182,42.2911]",11.6
Target,"Gansevoort, NY","[-73.6518, 43.1962]",21.2
Target,"Indianapolis, IN","[-86.1458,39.7771]",10.9
Target,"Logan, NJ","[-75.3492, 39.7847]",7.9
Target,"Lugoff, SC","[-80.6973,34.2113]",18.7
Target,"Madison, AL","[-86.7626,34.7114]",14.4
Target,"Midlothian, TX","[-96.989,32.4669]",14.1
Target,"Midway, GA","[-81.419,31.8003]",17.0
Target,"Newton, NC","[-81.2335,35.663]",18.4
Target,"Oconomowoc, WI","[-88.4948,43.0996]",13.9
Target,"Phoenix, AZ","[-112.0892,33.5722]",10.6
Target,"Pueblo, CO","[-104.6114,38.2701]",10.2
Target,"Rialto, CA","[-117.3892,34.1175]",17.2
Target,"Riverside, CA","[-117.3949,33.9381]",1.3
Target,"Shafter, CA","[-119.2013,35.4794]",16.8
Target,"Stuarts Draft, VA","[-79.0354,38.0188]",19.5
Target,"Tifton, GA","[-83.5203,31.4624]",18.7
Target,"Topeka, KS","[-95.6955,39.0346]",14.5
Target,"Tyler, TX","[-95.3062,32.3184]",23.3
