Vendor,Facility Type,City,State,Lat,Lon
Ingram Micro,GDC,Mira Loma,CA,33.9845,-117.5159
Ingram Micro,GDC,Carol Stream,IL,41.9125,-88.1348
CTDI,VCI,Coatesville,PA,39.9832,-75.8238
GXO,VCI,Redlands,CA,34.0564,-117.2059
Ingram Micro,VCI,Plainfield,IN,39.7042,-86.3994
GXO,MFC,Elizabeth,NJ,40.664,-74.2107
GXO,MFC,Puyallup,WA,47.1854,-122.2929
GXO,MFC,McDonough,GA,33.4473,-84.1469
GXO,MFC,Grand Prairie,TX,32.746,-96.9978
Google,MFC,Mountain View,CA,37.3861,-122.0839
Google,Retail,New York,NY,40.7128,-74.006
Vanguard,VAS,Kansas City,MO,39.0997,-94.5786
Cycle Logistics,VAS,Itasca,IL,41.975,-88.073
Ingram Micro,GDC,Mississauga,ON,43.589,-79.6441
Google,Office,Mountain View,CA,37.3861,-122.0839
Google,Office,Chicago,IL,41.8781,-87.6298
