fulfillment_center,ship_from_coords,ship_to_coords,ship_to_state,orders,scale
US-IL-ORD,"-88.1348,41.9125","-97.092877,35.007752",OK,7367,0.0776
US-NJ-EWR,"-74.5102,40.3726","-75.52767,38.910832",DE,1773,0.0187
US-IL-ORD,"-88.1348,41.9125","-120.740139,47.751074",WA,25283,0.2662
US-CA-ONT,"-117.5931,34.1064","-154.493062,63.588753",AK,319,0.0034
US-CA-ONT,"-117.5931,34.1064","-110.362566,46.879682",MT,1211,0.0128
US-CA-ONT,"-117.5931,34.1064","-120.740139,47.751074",WA,25130,0.2646
US-CA-ONT,"-117.5931,34.1064","-155.665857,19.898682",HI,887,0.0093
US-NJ-EWR,"-74.5102,40.3726","-91.831833,37.964253",MO,1206,0.0127
US-CA-ONT,"-117.5931,34.1064","-85.602364,40.551217",IN,755,0.0079
US-NJ-EWR,"-74.5102,40.3726","-82.907123,32.157435",GA,3851,0.0405
US-NJ-EWR,"-74.5102,40.3726","-111.093731,34.048928",AZ,1151,0.0121
US-CA-ONT,"-117.5931,34.1064","-85.602364,44.314844",MI,1828,0.0192
US-IL-ORD,"-88.1348,41.9125","-76.641271,39.045755",MD,15808,0.1665
US-NJ-EWR,"-74.5102,40.3726","-116.419389,38.80261",NV,333,0.0035
US-CA-ONT,"-117.5931,34.1064","-82.907123,32.157435",GA,1809,0.019
US-CA-ONT,"-117.5931,34.1064","-89.398528,40.633125",IL,2493,0.0263
US-NJ-EWR,"-74.5102,40.3726","-119.417932,36.778261",CA,3518,0.037
US-IL-ORD,"-88.1348,41.9125","-91.831833,35.20105",AR,5022,0.0529
US-IL-ORD,"-88.1348,41.9125","-99.901813,41.492537",NE,5364,0.0565
US-NJ-EWR,"-74.5102,40.3726","-99.901813,43.969515",SD,76,0.0008
US-IL-ORD,"-88.1348,41.9125","-86.902298,32.318231",AL,8244,0.0868
US-IL-ORD,"-88.1348,41.9125","-105.782067,39.550051",CO,28939,0.3047
US-NJ-EWR,"-74.5102,40.3726","-76.641271,39.045755",MD,9915,0.1044
US-CA-ONT,"-117.5931,34.1064","-116.419389,38.80261",NV,5449,0.0574
US-CA-ONT,"-117.5931,34.1064","-107.290284,43.075968",WY,292,0.0031
US-NJ-EWR,"-74.5102,40.3726","-105.782067,39.550051",CO,1579,0.0166
US-CA-ONT,"-117.5931,34.1064","-77.033418,38.905985",DC,257,0.0027
US-IL-ORD,"-88.1348,41.9125","-79.0193,35.759573",NC,29596,0.3116
US-NJ-EWR,"-74.5102,40.3726","-81.163725,33.836081",SC,2391,0.0252
US-IL-ORD,"-88.1348,41.9125","-155.665857,19.898682",HI,3709,0.0391
US-IL-ORD,"-88.1348,41.9125","-81.515754,27.664827",FL,57265,0.603
US-IL-ORD,"-88.1348,41.9125","-111.093731,34.048928",AZ,11039,0.1162
US-NJ-EWR,"-74.5102,40.3726","-114.742041,44.068202",ID,144,0.0015
US-CA-ONT,"-117.5931,34.1064","-93.097702,41.878003",IA,462,0.0049
US-CA-ONT,"-117.5931,34.1064","-72.577841,44.558803",VT,274,0.0029
US-IL-ORD,"-88.1348,41.9125","-82.907123,32.157435",GA,26657,0.2807
US-IL-ORD,"-88.1348,41.9125","-71.382437,42.407211",MA,18317,0.1929
US-IL-ORD,"-88.1348,41.9125","-116.419389,38.80261",NV,4748,0.05
US-NJ-EWR,"-74.5102,40.3726","-120.554201,43.804133",OR,656,0.0069
US-NJ-EWR,"-74.5102,40.3726","-77.033418,38.905985",DC,1816,0.0191
US-IL-ORD,"-88.1348,41.9125","-99.901813,43.969515",SD,1937,0.0204
US-IL-ORD,"-88.1348,41.9125","-85.602364,40.551217",IN,15179,0.1598
US-NJ-EWR,"-74.5102,40.3726","-78.656894,37.431573",VA,4028,0.0424
US-CA-ONT,"-117.5931,34.1064","-86.902298,32.318231",AL,523,0.0055
US-CA-ONT,"-117.5931,34.1064","-78.656894,37.431573",VA,1929,0.0203
US-CA-ONT,"-117.5931,34.1064","-71.477429,41.580095",RI,301,0.0032
US-IL-ORD,"-88.1348,41.9125","-72.577841,44.558803",VT,1751,0.0184
US-NJ-EWR,"-74.5102,40.3726","-81.515754,27.664827",FL,5530,0.0582
US-IL-ORD,"-88.1348,41.9125","-77.033418,38.905985",DC,3056,0.0322
